Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KFCKU Apps,,,,2023-07-12 00:25:48,2023-07-12 00:43:03,17m - 14.968s,FAILED
,,,,,,,
Test Cases/Production/Login KFCKU Apps/Login Failed - Empty Phone Number and Password,,,,2023-07-12 00:25:48,2023-07-12 00:26:31,42.854s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-07-12 00:25:48,2023-07-12 00:26:11,22.869s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-12 00:26:11,2023-07-12 00:26:16,5.034s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 5)",,,,2023-07-12 00:26:16,2023-07-12 00:26:19,2.361s,PASSED
"tap(findTestObject(""Productions/Login/Button - Sign In""), 0)",,,,2023-07-12 00:26:19,2023-07-12 00:26:21,2.391s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-12 00:26:21,2023-07-12 00:26:26,5.010s,PASSED
"waitForElementPresent(findTestObject(""Productions/Login/Please enter your phone number""), 0, STOP_ON_FAILURE)",,,,2023-07-12 00:26:26,2023-07-12 00:26:27,0.698s,PASSED
"waitForElementPresent(findTestObject(""Productions/Login/Please type your correct password""), 0)",,,,2023-07-12 00:26:27,2023-07-12 00:26:27,0.605s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-07-12 00:26:27,2023-07-12 00:26:30,3.015s,PASSED
closeApplication(),,,,2023-07-12 00:26:30,2023-07-12 00:26:31,0.460s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-07-12 00:26:31,2023-07-12 00:26:31,0.023s,PASSED
,,,,,,,
Test Cases/Production/Login KFCKU Apps/Login Failed - Phone Number Not Registered,,,,2023-07-12 00:26:31,2023-07-12 00:27:14,43.214s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-07-12 00:26:31,2023-07-12 00:26:49,17.554s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-12 00:26:49,2023-07-12 00:26:54,5.010s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 5)",,,,2023-07-12 00:26:54,2023-07-12 00:26:56,2.289s,PASSED
"tap(findTestObject(""Productions/Login/Enter your phone number""), 0)",,,,2023-07-12 00:26:56,2023-07-12 00:26:58,2.544s,PASSED
"setText(findTestObject(""Productions/Login/Enter your phone number""), ""081211287366"", 0)",,,,2023-07-12 00:26:58,2023-07-12 00:27:02,3.327s,PASSED
pressBack(),,,,2023-07-12 00:27:02,2023-07-12 00:27:02,0.537s,PASSED
"setText(findTestObject(""Productions/Login/Type your password""), ""Pass123"", 0)",,,,2023-07-12 00:27:02,2023-07-12 00:27:04,1.700s,PASSED
"tap(findTestObject(""Productions/Login/Button - Sign In""), 0)",,,,2023-07-12 00:27:04,2023-07-12 00:27:05,0.976s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-12 00:27:05,2023-07-12 00:27:10,5.018s,PASSED
"waitForElementPresent(findTestObject(""Productions/Login/Your phone number has not been registered""), 0, STOP_ON_FAILURE)",,,,2023-07-12 00:27:10,2023-07-12 00:27:11,0.542s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-07-12 00:27:11,2023-07-12 00:27:14,3.017s,PASSED
closeApplication(),,,,2023-07-12 00:27:14,2023-07-12 00:27:14,0.345s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-07-12 00:27:14,2023-07-12 00:27:14,0.007s,PASSED
,,,,,,,
Test Cases/Production/Login KFCKU Apps/Login Failed - Wrong Password,,,,2023-07-12 00:27:14,2023-07-12 00:27:56,42.140s,PASSED
