Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Order,,,,2023-01-26 17:44:50,2023-01-26 17:57:40,12m - 49.430s,FAILED
,,,,,,,
Test Cases/Create Order/Dine In/Dine In - Dana,,,,2023-01-26 17:44:50,2023-01-26 17:47:39,2m - 48.675s,PASSED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-01-26 17:44:51,2023-01-26 17:45:14,22.767s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-26 17:45:14,2023-01-26 17:45:15,1.399s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-26 17:45:15,2023-01-26 17:45:16,0.464s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-26 17:45:16,2023-01-26 17:45:17,1.163s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - DINE-IN""), 5)",,,,2023-01-26 17:45:17,2023-01-26 17:45:18,1.042s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Cari Gerai KFC""), 5)",,,,2023-01-26 17:45:18,2023-01-26 17:45:21,2.930s,PASSED
"setText(findTestObject(""Object Repository/Order Dine In/android.widget.EditText - Cari Gerai KFC""), ""MT Haryono"", 5)",,,,2023-01-26 17:45:21,2023-01-26 17:45:25,3.848s,PASSED
hideKeyboard(),,,,2023-01-26 17:45:25,2023-01-26 17:45:28,2.960s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - MT HARYONO JAKARTA""), 5)",,,,2023-01-26 17:45:28,2023-01-26 17:45:33,5.254s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Gerai""), 0)",,,,2023-01-26 17:45:33,2023-01-26 17:45:33,0.349s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-26 17:45:33,2023-01-26 17:45:38,5.041s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.FrameLayout""), 5)",,,,2023-01-26 17:45:38,2023-01-26 17:45:39,0.759s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-26 17:45:39,2023-01-26 17:45:44,5.008s,PASSED
pressBack(),,,,2023-01-26 17:45:44,2023-01-26 17:45:45,0.944s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-01-26 17:45:45,2023-01-26 17:45:46,0.654s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-01-26 17:45:46,2023-01-26 17:45:46,0.330s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-26 17:45:46,2023-01-26 17:45:51,5.010s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-01-26 17:45:51,2023-01-26 17:45:52,0.688s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-01-26 17:45:52,2023-01-26 17:45:52,0.318s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-26 17:45:52,2023-01-26 17:45:57,5.013s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-01-26 17:45:57,2023-01-26 17:45:57,0.305s,PASSED
