Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order PNP,,,,2023-02-08 13:44:39,2023-02-08 13:48:09,3m - 29.598s,FAILED
,,,,,,,
Test Cases/Create Order/Dine In/Dine In - Dana,,,,2023-02-08 13:44:39,2023-02-08 13:46:24,1m - 44.582s,FAILED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-02-08 13:44:40,2023-02-08 13:45:03,23.474s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-02-08 13:45:03,2023-02-08 13:45:04,1.237s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-02-08 13:45:04,2023-02-08 13:45:06,1.733s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-02-08 13:45:06,2023-02-08 13:45:07,1.241s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - DINE-IN""), 5)",,,,2023-02-08 13:45:07,2023-02-08 13:45:09,1.687s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Cari Gerai KFC""), 5)",,,,2023-02-08 13:45:09,2023-02-08 13:45:12,3.359s,PASSED
"setText(findTestObject(""Object Repository/Order Dine In/android.widget.EditText - Cari Gerai KFC""), ""MT Haryono"", 5)",,,,2023-02-08 13:45:12,2023-02-08 13:45:18,5.396s,PASSED
hideKeyboard(),,,,2023-02-08 13:45:18,2023-02-08 13:45:21,3.115s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - MT HARYONO JAKARTA""), 5)",,,,2023-02-08 13:45:21,2023-02-08 13:45:27,6.170s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Gerai""), 0)",,,,2023-02-08 13:45:27,2023-02-08 13:45:28,0.391s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-08 13:45:28,2023-02-08 13:45:33,5.038s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.FrameLayout""), 5)",,,,2023-02-08 13:45:33,2023-02-08 13:45:33,0.730s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-08 13:45:33,2023-02-08 13:45:38,5.018s,PASSED
pressBack(),,,,2023-02-08 13:45:38,2023-02-08 13:45:39,0.426s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-02-08 13:45:39,2023-02-08 13:45:39,0.731s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-02-08 13:45:39,2023-02-08 13:45:40,0.328s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-08 13:45:40,2023-02-08 13:45:45,5.009s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-02-08 13:45:45,2023-02-08 13:45:45,0.672s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-02-08 13:45:45,2023-02-08 13:45:46,0.806s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-08 13:45:46,2023-02-08 13:45:51,5.009s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-02-08 13:45:51,2023-02-08 13:45:52,0.326s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-02-08 13:45:52,2023-02-08 13:45:52,0.857s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-08 13:45:52,2023-02-08 13:45:57,5.015s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.TextView - Pilih Menu Gratis""), 5)",,,,2023-02-08 13:45:57,2023-02-08 13:45:58,0.205s,PASSED
