Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2023-02-01 16:38:44,2023-02-01 16:40:39,1m - 54.240s,FAILED
,,,,,,,
Test Cases/Login KFCKU Apps/Login Social Media,,,,2023-02-01 16:38:45,2023-02-01 16:39:45,59.695s,PASSED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,Start application on current selected android device,,2023-02-01 16:38:45,2023-02-01 16:39:09,23.908s,PASSED
delay(10),,,,2023-02-01 16:39:09,2023-02-01 16:39:19,10.047s,PASSED
"tap(findTestObject(""Login/android.widget.TextView - Profil""), 0)",,,,2023-02-01 16:39:19,2023-02-01 16:39:21,1.684s,PASSED
"tap(findTestObject(""Login Social Media/android.widget.Button - Masuk dengan Google""), 0)",,,,2023-02-01 16:39:21,2023-02-01 16:39:24,2.899s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-02-01 16:39:24,2023-02-01 16:39:27,3.007s,PASSED
"tap(findTestObject(""Login Social Media/android.widget.TextView - jecsanmaychelgmail.com""), 0)",,,,2023-02-01 16:39:27,2023-02-01 16:39:28,0.758s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-01 16:39:28,2023-02-01 16:39:33,5.005s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-01 16:39:33,2023-02-01 16:39:38,5.013s,PASSED
"tap(findTestObject(""Profile/android.widget.TextView - Profil""), 5)",,,,2023-02-01 16:39:38,2023-02-01 16:39:39,1.340s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-02-01 16:39:39,2023-02-01 16:39:42,3.017s,PASSED
"scrollToText(""Keluar"", STOP_ON_FAILURE)",,,,2023-02-01 16:39:42,2023-02-01 16:39:43,0.773s,PASSED
"tap(findTestObject(""Profile/Perangkat/android.widget.TextView - Keluar""), 5)",,,,2023-02-01 16:39:43,2023-02-01 16:39:43,0.474s,PASSED
closeApplication(),,,,2023-02-01 16:39:43,2023-02-01 16:39:45,1.140s,PASSED
,,,,,,,
Test Cases/Login KFCKU Apps/Login Phone Number,,,,2023-02-01 16:39:45,2023-02-01 16:40:39,54.141s,FAILED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-02-01 16:39:45,2023-02-01 16:40:02,17.113s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-01 16:40:02,2023-02-01 16:40:07,5.011s,PASSED
"tap(findTestObject(""Profile/android.widget.TextView - Profil""), 5)",,,,2023-02-01 16:40:07,2023-02-01 16:40:08,0.807s,PASSED
"setText(findTestObject(""Login/android.widget.EditText - Masukkan nomor handphone Anda""), ""081399674746"", 0)",,,,2023-02-01 16:40:08,2023-02-01 16:40:22,13.937s,PASSED
hideKeyboard(),,,,2023-02-01 16:40:22,2023-02-01 16:40:23,1.449s,PASSED
"setText(findTestObject(""Login/android.widget.EditText - Ketik kata sandi Anda""), ""pass111"", 0)",,,,2023-02-01 16:40:23,2023-02-01 16:40:26,2.626s,PASSED
hideKeyboard(),,,,2023-02-01 16:40:26,2023-02-01 16:40:27,1.247s,PASSED
"tap(findTestObject(""Login/android.widget.Button - Masuk""), 0)",,,,2023-02-01 16:40:27,2023-02-01 16:40:28,0.868s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-01 16:40:28,2023-02-01 16:40:33,5.010s,PASSED
"tap(findTestObject(""Profile/android.widget.TextView - Profil""), 5)",,,,2023-02-01 16:40:33,2023-02-01 16:40:39,5.657s,FAILED
